"","TICKER","CIK","CONAME"
"1","A",1090872,"AGILENT TECHNOLOGIES INC"
"4","AA",4281,"ALUMINUM COMPANY AMER"
"8","AA",4281,"ALCOA INC"
"12","AAC",6260,"ANACOMP INC"
"15","AAG",894651,"AMERICAN ANNUITY GROUP INC"
"17","AAI",948846,"AIRTRAN HOLDINGS INC"
"18","AAI",823556,"AQUA ALLIANCE INC"
"19","AAL",3449,"ALEXANDER & ALEXANDER SVCS INC"
"22","AAM",1282552,"AAMES FINANCIAL CORP"
"24","AAP",1158449,"ADVANCE AUTO PARTS INC"
"27","AAPL",320193,"APPLE COMPUTER INC"
"35","AAS",1140859,"AMERISOURCE HEALTH CORP"
"37","AB",787977,"ALEX BROWN INC"
"39","ABC",20639,"AMBASE CORP"
"40","ABC",1140859,"AMERISOURCEBERGEN CORP"
"43","ABCO",1157377,"THE ADVISORY BOARD CO"
"44","ABCW",885322,"ANCHOR BANCORP WISCONSIN INC"
"47","ABE",1866,"ABEX INC"
"48","ABF",3000,"AIRBORNE FREIGHT CORP"
"53","ABF",3000,"AIRBORNE INC"
"55","ABFS",894405,"ARKANSAS BEST CORP DEL"
"57","ABFS",894405,"ARKANSAS BEST CORP"
"60","ABG",5818,"AMERICAN SHIP BLDG CO"
"62","ABG",1144980,"ASBURY AUTOMOTIVE GROUP INC"
"63","ABGX",1052837,"ABGENIX INC"
"66","ABI",350571,"AMERICAN BANKERS INS GROUP INC"
"68","ABI",77551,"APPLERA CORP"
"71","ABIG",350571,"AMERICAN BANKERS INS GROUP INC"
"72","ABIO",719545,"APPLIED BIOSYSTEMS INC"
"73","ABK",874501,"A M B A C FINANCIAL GROUP INC"
"75","ABK",874501,"AMBAC FINANCIAL GROUP INC"
"78","ABKR",869623,"ANCHOR SAVINGS BANK FSB NY"
"79","ABKR",869623,"ANCHOR BANCORP INC"
"80","ABM",771497,"A B M INDUSTRIES INC"
"82","ABM",771497,"ABM INDUSTRIES INC"
"84","ABM",771497,"ABM INDUSTRIES INCORPORATED"
"85","ABPCA",724606,"AU BON PAIN CO INC"
"86","ABRX",920985,"A B R INFORMATION SERVICES INC"
"88","ABS",3333,"ALBERTSONS INC"
"93","ABS",3333,"ALBERTSON'S INC"
"96","ABSB",787977,"ALEX BROWN INC"
"97","ABT",1800,"ABBOTT LABS"
"102","ABT",1800,"ABBOTT LABORATORIES"
"105","ACAD",769397,"AUTODESK INC"
"108","ACAI",904020,"ATLANTIC COAST AIRLINES HOLDINGS INC"
"110","ACAS",817473,"AMERICAN CAPITAL STRATEGIES LTD"
"111","ACAT",719866,"ARCTIC CAT INC"
"116","ACC",760684,"AMERICAN CAPITAL CORP"
"117","ACCC",783233,"A C C CORP"
"118","ACCOB",24545,"COORS ADOLPH CO"
"121","ACDO",1068887,"ACCREDO HEALTH INC"
"122","ACE",2070,"ACME ELECTRIC CORP"
"125","ACE",896159,"ACE LTD"
"127","ACF",804269,"AMERICREDIT CORP"
"132","ACHV",731655,"ARCHIVE CORP"
"133","ACI",1037676,"ARCH COAL INC"
"135","ACK",1109304,"ARMSTRONG WORLD INDUSTRIES INC"
"140","ACK",1109304,"ARMSTRONG HOLDINGS INC"
"141","ACLS",1113232,"AXCELIS TECHNOLOGIES INC"
"143","ACN",717014,"ACUSON CORP"
"148","ACO",813621,"AMCOL INTERNATIONAL CORP"
"152","ACOL",813621,"AMCOL INTERNATIONAL CORP"
"153","ACOM",908526,"A PLUS COMMUNICATIONS INC"
